resample,sd,min,max,q0.95,q0.99,q0.995,weights_ratio
1,0.6034708623682352,0.6496007946354164,7.274715689073402,2.307750875892769,4.165881308240392,4.165881308240392,11.198748137548511
2,0.547204726464946,0.6108440860867143,5.145215781193073,2.045692372938118,3.5100650728496525,3.729716662430958,8.423124490170915
3,0.6046364915925928,0.6880856528987144,5.377142199843364,2.2605423604130164,4.049226131801301,5.377142199843364,7.81464077501246
4,0.5990361143795461,0.511550948283912,4.908924760407227,1.8483980112149652,3.271028318569046,4.908924760407227,9.596160024480614
5,0.5764891058214561,0.5788789002859943,7.0653711733133076,2.5212476760048697,3.139119545414169,3.8521449234881175,12.205266368877274
6,0.559458624302639,0.6757863394157759,4.724707269349048,2.0565590902286077,3.20333538930386,4.529078474037673,6.991421687265246
7,0.4830658298441295,0.6334041641331056,3.465426730780664,2.3448355742833025,3.115596699943694,3.352556726082137,5.471114537940467
8,0.6073754764955318,0.4466045886812052,5.525152520738117,1.559614868491489,4.660527830231943,4.660527830231943,12.371463842441788
9,0.5940700637262505,0.634434686438359,6.539721638729502,1.880404292201924,3.6870485627440073,4.2546898081268525,10.307950965674218
10,0.5037832950494007,0.5345147235704442,5.221574775828651,2.087639106655679,3.120068473987409,3.4937578425693046,9.768813739965191
11,0.47662837919880113,0.6395840374465452,3.7309600617494567,2.4009577441257406,2.9434610306294067,3.7309600617494567,5.833416475878325
12,0.5689257011191184,0.6307334162992079,4.071320895599166,2.9150875661761577,3.1627116436912077,4.071320895599166,6.454899630159772
13,0.43283682672472007,0.5432967465450853,3.2558964831382626,1.9679380210349782,2.5534252100102384,3.2558964831382626,5.992851059468056
14,0.503672009380889,0.6284138871398769,3.7809421370806624,2.258301707359185,3.4671889914134733,3.4671889914134733,6.016643194008654
15,0.47503880214038646,0.6338884140361996,3.5211007505830687,2.134550886384569,3.4340690053019696,3.4585826174575414,5.55476432857154
16,0.5310579511553809,0.5329372368339148,4.83597551652217,2.1109925770386564,3.367363611790186,3.367363611790186,9.074193323874008
17,0.5222256863241503,0.5160411848003078,3.84838446217593,2.4868592656102564,3.008459736776006,3.67302564854913,7.457514197563781
18,0.5269126351422099,0.6809765335720097,4.640032336927528,2.5908230920507913,2.833747071049286,3.2504232641447004,6.813791824203689
19,0.5568840474853456,0.6067959926181027,4.969750297132996,2.034653262478942,3.8387018118229275,3.8387018118229275,8.190150161820188
20,0.5481238246968563,0.6892502060618803,4.621753531922751,2.532610695069204,3.1386796410988067,4.00905106765616,6.705480087310724
21,0.5163598090149872,0.7037963688567825,4.598897098145649,1.8488410296369995,3.500476128763565,3.500476128763565,6.534414358539396
22,0.5362038808483227,0.6576634329420575,4.946656769236697,1.7437961428831728,3.414069429570915,3.800242942531257,7.521562734768189
23,0.5926092510322211,0.6891399889742085,4.668000097360918,1.4052810114929581,4.413923964611722,4.413923964611722,6.773660173616221
24,0.4554951294470852,0.6342466820060502,3.3650194218944196,2.100130358455756,3.1596267625013734,3.1596267625013734,5.305537289136848
25,0.5382896515740895,0.6528346578729645,5.340853892463815,2.3455930814303674,2.927080613444947,3.150731513778048,8.181020765449459
26,0.5769482753621936,0.4498114862133416,5.277828643853557,2.4461446450362656,3.268640228307157,3.462876560000511,11.733423457644497
27,0.8888151068323284,0.6480638842004044,15.913704690111862,1.6617574936453383,3.290528283554635,8.798697282526673,24.55576537758549
28,0.4542399704395371,0.45522264277242386,3.181797036808997,2.0901322765020365,2.7032195056749955,3.181797036808997,6.989540365195872
29,0.49665069819225127,0.6373778253173793,4.096134160945873,2.011343400293954,2.6471814514962593,4.030591748984292,6.426540112069669
30,0.6093086904633888,0.7170990876897954,5.582710881969853,1.464444093646131,3.708393997765694,4.902479934803343,7.785131759064289
31,0.5163719275997064,0.6831212974022111,4.292470000569956,2.1897925872888515,3.6341183371093932,3.742746361580362,6.283613198554133
32,0.5305565719073574,0.7272850856505744,5.23676280914074,1.6781222146694297,3.411345510622067,3.917167702534631,7.200426507380289
33,0.5100343397658472,0.5126679522181552,4.688315534538608,1.924961940693878,3.775831196424293,3.775831196424293,9.1449358483473
34,0.47608297782425724,0.721094973114215,3.752253009368298,2.0906847675266764,2.887083486516097,3.752253009368298,5.203548976583941
35,0.5138842730363098,0.6655160889276661,5.226182951355725,1.7812560286701287,3.2749979714225605,3.596943493111462,7.852827359555767
36,0.6110398742530789,0.6511743020455001,7.706127968323698,2.338125777652929,4.357125744067729,4.357125744067729,11.834201601808974
37,0.6167910837444017,0.5086025861469247,6.193613838329978,1.9811697573014653,3.1448182661351676,3.6478695355472004,12.177708110475027
38,0.42945359422309076,0.7159618536258918,3.312232035241753,2.071706771577982,2.636796491191522,3.312232035241753,4.626268869587678
39,0.5151579420697269,0.5134197177910048,3.57825915281443,2.6244918509019746,3.4413609885626197,3.4639491856641635,6.969461882395047
40,0.5455657920331654,0.5496772006436058,4.964221171588552,2.2954517768199194,3.1788994017023513,3.584614946527635,9.031157133270302
41,0.5279660652247881,0.634030841159658,4.436254477240377,2.2079120075256213,3.3231868570764305,3.6409834920020288,6.996906442478978
42,0.5319049414446375,0.5916417252004803,4.588095360504293,2.123905689478955,3.343864964236282,3.343864964236282,7.754854272574501
43,0.5272125832200892,0.4297381147282914,4.532645453789481,2.325843858672489,3.459167971877918,4.532645453789481,10.547459716612098
44,0.46521647298917806,0.6267569406989043,3.6258141084872206,2.156989357165169,3.1520263847550023,3.6258141084872206,5.785040217415113
45,0.4367102301845204,0.47091848331908137,3.472522112794023,1.960926691166516,2.88862257262976,3.2209198249706095,7.373934631572187
46,0.49745116295779057,0.603618197413653,4.595125029521236,2.157684239232751,2.9603169568933514,4.0455260655236165,7.612635021956183
47,0.4149071862081158,0.6904810180863923,3.0158134306732407,2.1415418932521946,2.600427683078637,3.0158134306732407,4.367699258455075
48,0.49657103236084454,0.6022577971037917,3.547128277787594,1.7806506093295527,3.4133800353800923,3.547128277787594,5.889717484514842
49,0.452280816247038,0.6134145335709228,2.961274540100838,2.323805822001278,2.9453668269495523,2.961274540100838,4.827525886715001
50,0.5754550958754461,0.6097408863945826,6.1517983642411025,1.8600536292431444,4.40986949283075,4.40986949283075,10.089201005720453
51,0.5744590075716323,0.6984952065546323,5.049457747573191,2.3568748552209713,3.5472782878241156,4.081110851076717,7.229051395327295
52,0.6033469829771249,0.516527118731058,5.482974661683729,1.9475175377626892,3.2317512945961444,3.6030394168492106,10.615076078006599
53,0.49052372867631894,0.5074414317810937,4.113089407658503,2.374027714774744,3.0411972288196565,3.8205812238544272,8.10554509359192
54,0.44559430888639723,0.5281002899194773,4.273038615450455,1.9783280303428972,3.03610199549824,3.03610199549824,8.091339272133313
55,0.41887877222001924,0.5529078474810676,3.4257432637303777,1.972932410143684,2.495675064754458,3.4257432637303777,6.195866597548483
56,0.5151809746839479,0.6857589432381862,4.516419188517193,2.0297638064067316,3.4672811045140617,4.516419188517193,6.586015731986589
57,0.4630854879559262,0.6680453391177263,3.373645927775939,2.338096073536133,3.0857886163177723,3.373645927775939,5.05002539532937
58,0.5114649223315118,0.6636200900206107,4.341496927931568,2.1370472116055423,3.2813005244371145,4.341496927931568,6.542142097893284
59,0.5288682211195753,0.6669780893892644,4.657727481423882,2.1850721551565626,3.135347961286817,4.657727481423882,6.983329071107642
60,0.5695620794076811,0.5411141329977511,5.243521896467133,2.1563666145926845,3.1353552856874094,4.8503562709203205,9.690232756291591
61,0.6561014151530292,0.612181161861864,6.17584947930442,2.0941195839190674,3.756945961777538,4.026495017803577,10.0882710283365
