indicator,value
min,0.6986379280193333
median,0.8833880010880388
max,4.038420201914701
ratio,5.780419355937037
q95,2.489626038513055
q99,2.779710448361481
q995,4.038420201914701
ratio_min_q995,5.780419355937037
