age_place_of_birth_calibration,prop
18_34_CAT,0.149672886020309
18_34_ESP,0.010042312255171555
18_34_Other,0.07097715742280156
35_49_CAT,0.20642325881628235
35_49_ESP,0.023738306006668534
35_49_Other,0.07768397296904335
50_64_CAT,0.13167968555195225
50_64_ESP,0.06914263423289019
65+_CAT,0.09532724919066574
65+_ESP,0.12234178735563155
50+_Other,0.042970750178583844
