resample,18_34_CAT,18_34_ESP,18_34_Other,35_49_CAT,35_49_ESP,35_49_Other,50_64_CAT,50_64_ESP,50+_Other,65+_CAT,65+_ESP,check
1,144.88335366765912,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286915,92.27677721656443,118.42685016025133,7.105427357601002e-15
2,144.8833536676591,9.720958263006066,68.7058883852719,199.81771453416133,22.97868021445514,75.19808583403396,127.46593561428978,66.93006993743771,41.595686172869165,92.27677721656441,118.42685016025133,8.171241461241152e-14
3,144.88335366765912,9.720958263006066,68.70588838527189,199.8177145341613,22.978680214455146,75.19808583403396,127.46593561428976,66.93006993743772,41.595686172869165,92.27677721656443,118.42685016025132,6.750155989720952e-14
4,144.88335366765912,9.720958263006064,68.70588838527192,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025132,3.019806626980426e-14
5,144.88335366765915,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743772,41.595686172869165,92.27677721656443,118.42685016025133,4.973799150320701e-14
6,144.88335366765915,9.720958263006066,68.7058883852719,199.8177145341613,22.97868021445514,75.19808583403396,127.46593561428979,66.93006993743772,41.59568617286916,92.27677721656443,118.42685016025132,7.460698725481052e-14
7,144.88335366765912,9.720958263006064,68.7058883852719,199.81771453416127,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656441,118.42685016025133,4.440892098500626e-14
8,144.88335366765912,9.720958263006066,68.70588838527189,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428979,66.93006993743772,41.59568617286915,92.27677721656443,118.42685016025133,4.973799150320701e-14
9,144.88335366765912,9.720958263006066,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403398,127.46593561428978,66.93006993743772,41.59568617286916,92.27677721656443,118.42685016025132,4.263256414560601e-14
10,144.88335366765912,9.720958263006064,68.7058883852719,199.8177145341613,22.978680214455146,75.19808583403398,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025133,1.9539925233402755e-14
11,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416124,22.97868021445514,75.19808583403396,127.46593561428978,66.93006993743772,41.59568617286916,92.27677721656444,118.42685016025136,1.1723955140041653e-13
12,144.88335366765912,9.720958263006064,68.7058883852719,199.8177145341613,22.978680214455146,75.19808583403396,127.46593561428979,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025133,1.9539925233402755e-14
13,144.88335366765912,9.720958263006064,68.7058883852719,199.8177145341613,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656444,118.42685016025133,1.5987211554602254e-14
14,144.88335366765912,9.720958263006066,68.70588838527189,199.81771453416127,22.978680214455146,75.19808583403396,127.46593561428979,66.93006993743771,41.59568617286916,92.27677721656443,118.42685016025132,7.460698725481052e-14
15,144.88335366765912,9.720958263006068,68.7058883852719,199.8177145341613,22.978680214455146,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286915,92.27677721656443,118.42685016025133,1.2434497875801753e-14
16,144.88335366765912,9.720958263006066,68.70588838527189,199.8177145341613,22.97868021445514,75.19808583403396,127.4659356142898,66.9300699374377,41.59568617286916,92.27677721656443,118.42685016025133,6.039613253960852e-14
17,144.8833536676591,9.720958263006066,68.7058883852719,199.81771453416133,22.97868021445514,75.19808583403398,127.46593561428979,66.9300699374377,41.595686172869165,92.27677721656443,118.42685016025135,1.2434497875801753e-13
18,144.8833536676591,9.720958263006066,68.7058883852719,199.81771453416133,22.978680214455142,75.19808583403396,127.46593561428978,66.93006993743772,41.59568617286915,92.27677721656441,118.42685016025133,9.237055564881302e-14
19,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416133,22.978680214455142,75.19808583403395,127.46593561428978,66.9300699374377,41.595686172869165,92.27677721656441,118.42685016025133,7.815970093361102e-14
20,144.88335366765912,9.720958263006066,68.70588838527192,199.8177145341613,22.97868021445514,75.19808583403396,127.46593561428976,66.93006993743771,41.595686172869165,92.27677721656443,118.42685016025132,5.3290705182007514e-14
21,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416133,22.978680214455142,75.19808583403396,127.46593561428979,66.93006993743771,41.595686172869165,92.27677721656441,118.42685016025135,7.815970093361102e-14
22,144.88335366765912,9.720958263006066,68.7058883852719,199.81771453416133,22.978680214455146,75.19808583403396,127.46593561428978,66.93006993743771,41.59568617286916,92.27677721656441,118.42685016025135,6.039613253960852e-14
