Catalan,Spanish,Other,resample_length,Catalan_pop,Spanish_pop,Other_pop,check
250.55675228936028,592.4502204079249,121.99302730271475,965,250.8252212053012,592.2300364839008,121.9447423107981,0.5369378318817013
251.24629679889682,594.300601555418,122.45310164568507,968,251.60498873236432,594.071166131001,122.32384513663477,0.7173838669348243
251.29939522517932,594.4164517202804,122.28415305454018,968,251.60498873236432,594.071166131001,122.32384513663477,0.6905711785590398
251.39720724414914,594.2441441936945,122.3586485621563,968,251.60498873236432,594.071166131001,122.32384513663477,0.4155629764302802
251.3816482849377,594.259018315797,122.35933339926515,968,251.60498873236432,594.071166131001,122.32384513663477,0.4466808948530314
251.39214721242635,594.2876377384914,122.32021504908208,968,251.60498873236432,594.071166131001,122.32384513663477,0.43294321498112254
251.08021212492213,594.5609280406562,122.35885983442155,968,251.60498873236432,594.071166131001,122.32384513663477,1.0495532148842415
250.9753267033248,594.635965169194,122.38870812748102,968,251.60498873236432,594.071166131001,122.32384513663477,1.259324058078846
250.25241084666203,592.7061314439155,122.04145770942229,965,250.8252212053012,592.2300364839008,121.9447423107981,1.1456207172780921
251.32728405952741,594.3194613806252,122.35325455984734,968,251.60498873236432,594.071166131001,122.32384513663477,0.555409345673695
251.36155389328604,594.2877563828762,122.35068972383763,968,251.60498873236432,594.071166131001,122.32384513663477,0.48686967815636706
250.37330503330583,592.6063335884174,122.02036137827662,965,250.8252212053012,592.2300364839008,121.9447423107981,0.903832343990544
251.2956736274891,594.3422836548779,122.362042717633,968,251.60498873236432,594.071166131001,122.32384513663477,0.6186302097503642
251.0906723347144,593.6573462455019,122.25198141978355,967,251.34506622334328,593.4574562486342,122.19747752802256,0.5087877772575382
250.73194088918422,593.1443192837403,122.12373982707538,966,251.08514371432224,592.8437463662675,122.07110991941033,0.7064056502758547
251.3112275111269,594.3265532267189,122.36221926215407,968,251.60498873236432,594.071166131001,122.32384513663477,0.5875224424747074
251.1529379573788,594.4562670672761,122.39079497534502,968,251.60498873236432,594.071166131001,122.32384513663477,0.9041015499709459
251.3541392408252,594.2815165680158,122.36434419115882,968,251.60498873236432,594.071166131001,122.32384513663477,0.5016989830780574
251.29167301021982,594.3165540936104,122.39177289616968,968,251.60498873236432,594.071166131001,122.32384513663477,0.6266314442888756
251.13866786558944,594.450780764875,122.41055136953544,968,251.60498873236432,594.071166131001,122.32384513663477,0.9326417335496444
250.92008789120726,593.7878198283954,122.29209228039718,967,251.34506622334328,593.4574562486342,122.19747752802256,0.8499566642718293
251.1850864796289,594.4184068893135,122.39650663105752,968,251.60498873236432,594.071166131001,122.32384513663477,0.8398045054706955
251.1676228838496,594.4960366862304,122.33634042991997,968,251.60498873236432,594.071166131001,122.32384513663477,0.8747316970293326
251.24089207557884,594.3751465480366,122.38396137638445,968,251.60498873236432,594.071166131001,122.32384513663477,0.7281933135707845
250.5673156758053,592.4613987483324,121.97128557586217,965,250.8252212053012,592.2300364839008,121.9447423107981,0.5158110589915594
250.5951001870049,592.4347336839621,121.97016612903288,965,250.8252212053012,592.2300364839008,121.9447423107981,0.4602420365924047
250.9797039403369,593.7522293633824,122.26806669628067,967,251.34506622334328,593.4574562486342,122.19747752802256,0.7307245660126824
251.1938838765829,594.4113788946388,122.39473722877814,968,251.60498873236432,594.071166131001,122.32384513663477,0.8222097115626354
251.37959012628522,594.2851434193518,122.33526645436291,968,251.60498873236432,594.071166131001,122.32384513663477,0.45079721215809343
250.90966820177425,593.8538260624713,122.23650573575435,967,251.34506622334328,593.4574562486342,122.19747752802256,0.8707960431378723
251.298516655314,594.3248093693492,122.37667397533674,968,251.60498873236432,594.071166131001,122.32384513663477,0.6129441541005178
251.32658144954732,594.3363563667989,122.33706218365361,968,251.60498873236432,594.071166131001,122.32384513663477,0.5568145656337862
251.31113842364212,594.2508178689898,122.43804370736795,968,251.60498873236432,594.071166131001,122.32384513663477,0.5877006174441988
251.353550278904,594.2647586224152,122.38169109868066,968,251.60498873236432,594.071166131001,122.32384513663477,0.502876906920477
250.13942388175278,591.9036315253967,121.95694459285039,964,250.56529869628017,591.616326601534,121.81837470218588,0.8517496290546376
251.25566709900568,594.3540814102919,122.39025149070235,968,251.60498873236432,594.071166131001,122.32384513663477,0.6986432667171556
250.9868423075111,593.7872241136184,122.22593357887038,967,251.34506622334328,593.4574562486342,122.19747752802256,0.7164478316642118
251.3227446163997,594.3177277650534,122.35952761854676,968,251.60498873236432,594.071166131001,122.32384513663477,0.5644882319290758
251.2582204644095,594.3090655477819,122.43271398780844,968,251.60498873236432,594.071166131001,122.32384513663477,0.6935365359094021
250.7900250768239,593.0984617760132,122.11151314716281,966,251.08514371432224,592.8437463662675,122.07110991941033,0.5902372749965252
251.07627632089216,594.4825878071448,122.44113587196293,968,251.60498873236432,594.071166131001,122.32384513663477,1.0574248229441565
251.06677488520558,594.5972784490376,122.33594666575665,968,251.60498873236432,594.071166131001,122.32384513663477,1.0764276943172888
251.22002206825144,594.4351046592226,122.34487327252585,968,251.60498873236432,594.071166131001,122.32384513663477,0.7699333282255907
251.3963500172995,594.2602658689211,122.34338411377927,968,251.60498873236432,594.071166131001,122.32384513663477,0.4172774301294737
251.26376907471996,594.3376883813235,122.39854254395654,968,251.60498873236432,594.071166131001,122.32384513663477,0.682439315288633
250.86593581968773,594.6374144915122,122.49664968879989,968,251.60498873236432,594.071166131001,122.32384513663477,1.4781058253529835
250.133406213193,592.0337918577316,121.83280192907532,964,250.56529869628017,591.616326601534,121.81837470218588,0.8637849661741939
